,open,close,high,low,volume,date
1343,25918.0,25115.9,26099.3,24796.8,464681.602,2023-06-14
1344,25115.9,25586.1,25750.0,24777.0,473971.375,2023-06-15
1345,25586.0,26336.0,26526.9,25142.1,533144.956,2023-06-16
1346,26335.9,26508.9,26900.0,26170.8,305738.396,2023-06-17
1347,26508.8,26329.7,26709.4,26230.9,241977.484,2023-06-18
1348,26329.6,26828.5,27077.0,26241.2,400533.758,2023-06-19
1349,26828.6,28290.6,28397.8,26633.9,758176.297,2023-06-20
1350,28290.7,29988.5,30822.0,28236.4,1123474.427,2023-06-21
1351,29988.5,29875.0,30488.0,29500.1,561051.742,2023-06-22
1352,29875.0,30673.4,31500.0,29792.0,699073.071,2023-06-23
1353,30673.5,30524.2,30796.5,30222.0,279539.288,2023-06-24
1354,30524.2,30458.0,31053.2,30252.6,301533.154,2023-06-25
1355,30458.0,30260.1,30667.3,29890.1,415099.356,2023-06-26
1356,30260.1,30683.2,30998.5,30213.0,406073.348,2023-06-27
1357,30683.2,30066.3,30701.8,29804.6,416656.434,2023-06-28
1358,30066.3,30439.9,30837.0,30036.1,382072.846,2023-06-29
1359,30439.9,30460.2,31300.0,29500.0,809331.305,2023-06-30
1360,30460.2,30573.6,30668.2,30311.3,135520.246,2023-07-01
1361,30573.6,30612.7,30800.0,30149.9,231866.188,2023-07-02
1362,30612.7,31149.0,31395.2,30559.4,370293.236,2023-07-03
1363,31149.0,30756.1,31319.4,30600.0,300832.260,2023-07-04
1364,30756.1,30488.4,30875.2,30175.8,294896.578,2023-07-05
1365,30488.4,29874.4,31568.0,29818.0,721267.219,2023-07-06
1366,29874.3,30327.9,30443.6,29680.0,337801.654,2023-07-07
1367,30328.0,30269.3,30380.0,30026.8,138734.493,2023-07-08
1368,30269.2,30147.8,30443.4,30042.0,162296.263,2023-07-09
1369,30147.8,30396.9,31040.0,29928.8,429115.537,2023-07-10
1370,30396.9,30608.4,30804.9,30261.4,298904.747,2023-07-11
1371,30608.3,30368.9,30980.5,30186.0,425058.257,2023-07-12
1372,30368.9,31441.7,31850.0,30233.0,696023.510,2023-07-13
1373,31441.6,30293.3,31640.0,29876.6,538692.246,2023-07-14
1374,30293.3,30276.4,30380.0,30220.2,111622.474,2023-07-15
1375,30276.5,30216.8,30441.6,30050.0,173805.940,2023-07-16
1376,30216.9,30126.1,30329.7,29630.0,344113.427,2023-07-17
1377,30126.0,29845.6,30227.5,29400.0,337396.417,2023-07-18
1378,29845.7,29895.5,30178.5,29745.0,298418.854,2023-07-19
1379,29895.5,29791.0,30420.0,29468.8,410263.764,2023-07-20
1380,29791.0,29891.4,30056.2,29705.9,221145.074,2023-07-21
1381,29891.5,29783.5,29986.0,29602.2,143375.956,2023-07-22
1382,29783.5,30070.8,30368.2,29718.9,224713.846,2023-07-23
1383,30070.9,29163.8,30091.7,28830.0,434182.417,2023-07-24
1384,29163.8,29216.3,29379.5,29033.0,196438.618,2023-07-25
1385,29216.2,29336.0,29670.5,29083.0,318527.582,2023-07-26
