,close,high,low,volume,date,ticker
2216,114.55,114.55,113.18,15296200,2001-11-13,SPY
2217,114.66,115.4,113.71,17571300,2001-11-14,SPY
2218,114.87,115.18,113.93,19470200,2001-11-15,SPY
2219,114.36,115.1,113.4,18134900,2001-11-16,SPY
2220,115.77,115.85,114.45,13625400,2001-11-19,SPY
2221,114.8,115.8,114.64,16209700,2001-11-20,SPY
2222,114.04,114.67,113.51,11470200,2001-11-21,SPY
2223,115.68,115.75,114.0,6717100,2001-11-23,SPY
2224,115.93,116.34,115.07,13726000,2001-11-26,SPY
2225,115.43,116.9,114.09,19261400,2001-11-27,SPY
2226,113.34,115.17,113.25,20195500,2001-11-28,SPY
2227,114.87,114.92,113.0,16354700,2001-11-29,SPY
2228,114.05,114.91,114.02,13680300,2001-11-30,SPY
2229,113.37,114.08,113.01,15220400,2001-12-03,SPY
2230,115.29,115.3,113.35,17239900,2001-12-04,SPY
2231,117.4,118.0,115.56,25204000,2001-12-05,SPY
2232,117.34,117.94,116.93,17972900,2001-12-06,SPY
2233,116.56,117.09,115.7,18857800,2001-12-07,SPY
2234,114.38,116.39,114.35,13862700,2001-12-10,SPY
2235,114.15,115.72,113.9,20833300,2001-12-11,SPY
2236,114.28,114.78,113.11,16171500,2001-12-12,SPY
2237,112.06,113.7,112.04,19026700,2001-12-13,SPY
2238,113.13,113.49,112.0,16721900,2001-12-14,SPY
2239,114.3,114.36,112.9,13925900,2001-12-17,SPY
2240,114.98,115.15,114.34,13663700,2001-12-18,SPY
2241,115.79,115.92,114.0,20143400,2001-12-19,SPY
2242,114.65,115.8,114.55,14867900,2001-12-20,SPY
2243,114.95,115.07,114.2,14037700,2001-12-21,SPY
2244,114.73,115.04,114.61,5728800,2001-12-24,SPY
2245,115.36,116.21,114.65,10304800,2001-12-26,SPY
2246,116.06,116.08,115.25,9407300,2001-12-27,SPY
2247,116.0,116.75,115.92,10593800,2001-12-28,SPY
2248,114.3,116.39,114.23,14619500,2001-12-31,SPY
2249,115.53,115.75,113.81,18651900,2002-01-02,SPY
2250,116.84,116.95,115.54,15743000,2002-01-03,SPY
2251,117.62,117.98,116.55,20140700,2002-01-04,SPY
2252,116.79,117.99,116.56,13106500,2002-01-07,SPY
2253,116.52,117.06,115.97,12683700,2002-01-08,SPY
2254,115.57,117.78,115.34,16610300,2002-01-09,SPY
2255,116.08,116.35,115.3,12823400,2002-01-10,SPY
2256,114.94,116.28,114.7,13708400,2002-01-11,SPY
2257,114.22,114.84,113.96,12301100,2002-01-14,SPY
2258,115.15,115.39,113.9,20219900,2002-01-15,SPY
2259,112.82,114.4,112.69,17067000,2002-01-16,SPY
2260,113.67,114.24,113.4,17283400,2002-01-17,SPY
2261,113.15,113.85,112.67,17028000,2002-01-18,SPY
2262,112.37,113.93,112.02,11689300,2002-01-22,SPY
2263,113.23,113.55,112.02,12438900,2002-01-23,SPY
2264,113.58,114.25,113.32,12142800,2002-01-24,SPY
2265,113.55,114.18,113.04,12810700,2002-01-25,SPY
2266,113.86,114.19,112.92,10589200,2002-01-28,SPY
2267,110.28,114.13,110.05,27720800,2002-01-29,SPY
2268,111.87,113.39,108.4,34711800,2002-01-30,SPY
2269,113.18,113.3,111.62,19909200,2002-01-31,SPY
2270,112.65,113.3,112.17,15838500,2002-02-01,SPY
2271,109.85,112.23,109.44,24243400,2002-02-04,SPY
2272,109.17,110.49,108.53,33614000,2002-02-05,SPY
2273,108.7,109.74,108.06,29486000,2002-02-06,SPY
2274,108.02,109.86,108.0,23445400,2002-02-07,SPY
2275,110.09,110.75,108.3,19277800,2002-02-08,SPY
2276,111.44,111.64,109.82,18792400,2002-02-11,SPY
2277,111.09,111.71,110.03,13942500,2002-02-12,SPY
2278,112.27,112.54,111.35,16781100,2002-02-13,SPY
